"","x","y","part.a","part.b","dist","soil","ffreq"
"1",181180,333740,1,0,0,"1","1"
"2",181140,333700,1,0,0,"1","1"
"3",181180,333700,1,0,0.0122243,"1","1"
"4",181220,333700,1,0,0.0434678,"1","1"
"5",181100,333660,1,0,0,"1","1"
"6",181140,333660,1,0,0.0122243,"1","1"
"7",181180,333660,1,0,0.0373395,"1","1"
"8",181220,333660,1,0,0.0593662,"1","1"
"9",181060,333620,1,0,0.00135803,"1","1"
"10",181100,333620,1,0,0.0122243,"1","1"
"11",181140,333620,1,0,0.0373395,"1","1"
"12",181180,333620,1,0,0.0593662,"1","1"
"13",181220,333620,1,0,0.0812247,"1","1"
"14",181260,333620,1,0,0.101178,"1","1"
"15",181020,333580,1,0,0,"1","1"
"16",181060,333580,1,0,0.0122243,"1","1"
"17",181100,333580,1,0,0.0484855,"1","1"
"18",181140,333580,1,0,0.0593662,"1","1"
"19",181180,333580,1,0,0.0812247,"1","1"
"20",181220,333580,1,0,0.103029,"1","1"
"21",181260,333580,1,0,0.12481,"2","1"
"22",181300,333580,1,0,0.152165,"2","1"
"23",180980,333540,1,0,0,"1","1"
"24",181020,333540,1,0,0.0122243,"1","1"
"25",181060,333540,1,0,0.0373395,"1","1"
"26",181100,333540,1,0,0.0593662,"1","1"
"27",181140,333540,1,0,0.0921488,"1","1"
"28",181180,333540,1,0,0.103029,"1","1"
"29",181220,333540,1,0,0.12481,"1","1"
"30",181260,333540,1,0,0.146578,"2","1"
"31",181300,333540,1,0,0.166504,"2","1"
"32",180940,333500,1,0,0,"1","1"
"33",180980,333500,1,0,0.0122243,"1","1"
"34",181020,333500,1,0,0.0373395,"1","1"
"35",181060,333500,1,0,0.0593662,"1","1"
"36",181100,333500,1,0,0.0812247,"1","1"
"37",181140,333500,1,0,0.103029,"1","1"
"38",181180,333500,1,0,0.135698,"1","1"
"39",181220,333500,1,0,0.146578,"1","1"
"40",181260,333500,1,0,0.168339,"2","1"
"41",181300,333500,1,0,0.190094,"2","1"
"42",181340,333500,1,0,0.206375,"2","1"
"43",180940,333460,1,0,0.00135803,"1","1"
"44",180980,333460,1,0,0.0316663,"1","1"
"45",181020,333460,1,0,0.0593636,"1","1"
"46",181060,333460,1,0,0.0812247,"1","1"
"47",181100,333460,1,0,0.103029,"1","1"
"48",181140,333460,1,0,0.12481,"1","1"
"49",181180,333460,1,0,0.146578,"1","1"
"50",181220,333460,1,0,0.179213,"2","1"
"51",181260,333460,1,0,0.190094,"2","1"
"52",181300,333460,1,0,0.211846,"2","1"
"53",181340,333460,1,0,0.233596,"2","1"
"54",180900,333420,1,0,0,"1","1"
"55",180940,333420,1,0,0.0122243,"1","1"
"56",180980,333420,1,0,0.0484884,"1","1"
"57",181020,333420,1,0,0.0756869,"1","1"
"58",181060,333420,1,0,0.103027,"1","1"
"59",181100,333420,1,0,0.12481,"2","1"
"60",181140,333420,1,0,0.146578,"2","1"
"61",181180,333420,1,0,0.168339,"2","1"
"62",181220,333420,1,0,0.190094,"2","1"
"63",181260,333420,1,0,0.222715,"2","1"
"64",181300,333420,1,0,0.233596,"2","1"
"65",181340,333420,1,0,0.255343,"2","1"
"66",181380,333420,1,0,0.275265,"2","1"
"67",180860,333380,1,0,0,"1","1"
"68",180900,333380,1,0,0.0054321,"1","1"
"69",180940,333380,1,0,0.0373369,"1","1"
"70",180980,333380,1,0,0.0593662,"1","1"
"71",181020,333380,1,0,0.0921516,"1","1"
"72",181060,333380,1,0,0.119308,"1","1"
"73",181100,333380,1,0,0.146576,"2","1"
"74",181140,333380,1,0,0.168339,"2","1"
"75",181180,333380,1,0,0.190094,"2","1"
"76",181220,333380,1,0,0.211846,"2","1"
"77",181260,333380,1,0,0.233596,"2","1"
"78",181300,333380,1,0,0.266209,"2","1"
"79",181340,333380,1,0,0.27709,"2","1"
"80",181380,333380,1,0,0.298835,"2","1"
"81",181420,333380,1,0,0.326079,"2","1"
"82",180860,333340,1,0,0,"1","1"
"83",180900,333340,1,0,0.0264645,"1","1"
"84",180940,333340,1,0,0.0537889,"1","1"
"85",180980,333340,1,0,0.081222,"1","1"
"86",181020,333340,1,0,0.103029,"1","1"
"87",181060,333340,1,0,0.1357,"1","1"
"88",181100,333340,1,0,0.162853,"2","1"
"89",181140,333340,1,0,0.190091,"2","1"
"90",181180,333340,1,0,0.211846,"2","1"
"91",181220,333340,1,0,0.233596,"2","1"
"92",181260,333340,1,0,0.255343,"2","1"
"93",181300,333340,1,0,0.27709,"2","1"
"94",181340,333340,1,0,0.309699,"2","1"
"95",181380,333340,1,0,0.32058,"2","1"
"96",181420,333340,1,0,0.342324,"2","1"
"97",180820,333300,1,0,0,"1","1"
"98",180860,333300,1,0,0.0054321,"1","1"
"99",180900,333300,1,0,0.0373369,"1","1"
"100",180940,333300,1,0,0.0703468,"1","1"
"101",180980,333300,1,0,0.0975136,"1","1"
"102",181020,333300,1,0,0.124808,"1","1"
"103",181060,333300,1,0,0.146578,"1","1"
"104",181100,333300,1,0,0.179216,"1","1"
"105",181140,333300,1,0,0.20637,"2","1"
"106",181180,333300,1,0,0.233593,"2","1"
"107",181220,333300,1,0,0.255343,"2","1"
"108",181260,333300,1,0,0.27709,"2","1"
"109",181300,333300,1,0,0.298835,"2","1"
"110",181340,333300,1,0,0.32058,"2","1"
"111",181380,333300,1,0,0.353186,"2","1"
"112",181420,333300,1,0,0.364067,"2","1"
"113",181460,333300,1,0,0.380356,"2","2"
"114",180820,333260,1,0,0,"1","1"
"115",180860,333260,1,0,0.0264645,"1","1"
"116",180900,333260,1,0,0.0537889,"1","1"
"117",180940,333260,1,0,0.081222,"1","1"
"118",180980,333260,1,0,0.113932,"1","1"
"119",181020,333260,1,0,0.141086,"1","1"
"120",181060,333260,1,0,0.168336,"1","1"
"121",181100,333260,1,0,0.190094,"2","1"
"122",181140,333260,1,0,0.222718,"2","1"
"123",181180,333260,1,0,0.249874,"2","1"
"124",181220,333260,1,0,0.277087,"2","1"
"125",181260,333260,1,0,0.298835,"2","1"
"126",181300,333260,1,0,0.32058,"2","1"
"127",181340,333260,1,0,0.342324,"2","1"
"128",181380,333260,1,0,0.364067,"2","1"
"129",181420,333260,1,0,0.396672,"2","2"
"130",181460,333260,1,0,0.407552,"2","2"
"131",180780,333220,1,0,0,"1","1"
"132",180820,333220,1,0,0.0054321,"1","1"
"133",180860,333220,1,0,0.0373369,"1","2"
"134",180900,333220,1,0,0.0703468,"1","1"
"135",180940,333220,1,0,0.0975136,"1","1"
"136",180980,333220,1,0,0.124808,"1","1"
"137",181020,333220,1,0,0.157461,"1","1"
"138",181060,333220,1,0,0.184614,"1","1"
"139",181100,333220,1,0,0.211843,"2","1"
"140",181140,333220,1,0,0.233596,"2","1"
"141",181180,333220,1,0,0.266212,"2","1"
"142",181220,333220,1,0,0.29337,"2","1"
"143",181260,333220,1,0,0.320577,"2","1"
"144",181300,333220,1,0,0.342324,"2","1"
"145",181340,333220,1,0,0.364067,"2","1"
"146",181380,333220,1,0,0.38581,"2","1"
"147",181420,333220,1,0,0.407552,"2","2"
"148",181460,333220,1,0,0.440156,"2","2"
"149",181500,333220,1,0,0.456516,"2","2"
"150",180780,333180,1,0,0,"1","1"
"151",180820,333180,1,0,0.0264645,"1","1"
"152",180860,333180,1,0,0.0537889,"1","2"
"153",180900,333180,1,0,0.081222,"1","1"
"154",180940,333180,1,0,0.113932,"1","1"
"155",180980,333180,1,0,0.141086,"1","1"
"156",181020,333180,1,0,0.168336,"1","1"
"157",181060,333180,1,0,0.200968,"1","1"
"158",181100,333180,1,0,0.228123,"2","1"
"159",181140,333180,1,0,0.255341,"2","1"
"160",181180,333180,1,0,0.27709,"2","1"
"161",181220,333180,1,0,0.309702,"2","1"
"162",181260,333180,1,0,0.336861,"2","1"
"163",181300,333180,1,0,0.364064,"2","1"
"164",181340,333180,1,0,0.38581,"2","1"
"165",181380,333180,1,0,0.407552,"2","2"
"166",181420,333180,1,0,0.429295,"2","2"
"167",181460,333180,1,0,0.451037,"2","2"
"168",181500,333180,1,0,0.483639,"2","2"
"169",181540,333180,1,0,0.5,"2","2"
"170",180780,333140,1,0,0.0054321,"1","1"
"171",180820,333140,1,0,0.0373369,"1","1"
"172",180860,333140,1,0,0.0703468,"1","2"
"173",180900,333140,1,0,0.0975136,"1","1"
"174",180940,333140,1,0,0.124808,"1","1"
"175",180980,333140,1,0,0.157461,"1","1"
"176",181020,333140,1,0,0.184614,"1","1"
"177",181060,333140,1,0,0.211843,"1","1"
"178",181100,333140,1,0,0.244466,"2","1"
"179",181140,333140,1,0,0.271622,"2","1"
"180",181180,333140,1,0,0.298832,"2","1"
"181",181220,333140,1,0,0.32058,"2","1"
"182",181260,333140,1,0,0.353189,"2","1"
"183",181300,333140,1,0,0.38035,"2","1"
"184",181340,333140,1,0,0.40755,"2","2"
"185",181380,333140,1,0,0.429295,"2","2"
"186",181420,333140,1,0,0.451037,"2","2"
"187",181460,333140,1,0,0.472778,"2","2"
"188",181500,333140,1,0,0.49452,"2","2"
"189",181540,333140,1,0,0.521728,"2","2"
"190",180740,333100,1,0,0,"1","1"
"191",180780,333100,1,0,0.0122243,"1","1"
"192",180820,333100,1,0,0.0537778,"1","2"
"193",180860,333100,1,0,0.0812194,"1","2"
"194",180900,333100,1,0,0.113932,"1","2"
"195",180940,333100,1,0,0.141086,"1","1"
"196",180980,333100,1,0,0.168336,"1","2"
"197",181020,333100,1,0,0.200968,"1","2"
"198",181060,333100,1,0,0.228123,"1","1"
"199",181100,333100,1,0,0.255341,"2","1"
"200",181140,333100,1,0,0.287957,"2","1"
"201",181180,333100,1,0,0.315116,"2","1"
"202",181220,333100,1,0,0.342321,"2","1"
"203",181260,333100,1,0,0.364067,"2","1"
"204",181300,333100,1,0,0.396675,"2","1"
"205",181340,333100,1,0,0.423837,"2","2"
"206",181380,333100,1,0,0.451034,"2","2"
"207",181420,333100,1,0,0.472778,"2","2"
"208",181460,333100,1,0,0.49452,"2","2"
"209",181500,333100,1,0,0.516261,"2","2"
"210",180700,333060,1,0,0,"1","1"
"211",180740,333060,1,0,0.0054321,"1","1"
"212",180780,333060,1,0,0.0373369,"1","1"
"213",180820,333060,1,0,0.0593662,"1","2"
"214",180860,333060,1,0,0.0975026,"1","2"
"215",180900,333060,1,0,0.124805,"1","2"
"216",180940,333060,1,0,0.157461,"1","2"
